"","CLNT_ID","SESS_ID","HITS_SEQ","PD_C","PD_ADD_NM","PD_BRA_NM","PD_BUY_AM","PD_BUY_CT"
"613615",5044991,791251,65,25217,"색상:멜란지그레이(MG)|사이즈:100 / 1개","디스커버리","47,400","1"
"613838",3868951,7033617,45,8099,"타입:R타입|사이즈:95 / 1개","판도라 바이 비비안","4,900","1"
"613921",6002543,731732,22,42222,"색상/사이즈:단일상품/단일상품 / 1개","노마드","4,850","1"
"614005",6169049,4429983,19,289165,"선택:05.SB1001여바지3부-카우팝블루FREE / 1개","모스트","4,900","1"
"614009",6193868,4530981,154,195280,"상품명:03_핑크퐁-L0513 / 1개","오키즈","4,900","1"
"614189",115714,2552514,41,809900,"1개","화이트","5,000","1"
"614198",149040,6400077,64,716450,"색상:OR|사이즈:100[8392487-1] / 1개","컬리수","5,000","1"
"614215",3592889,2059243,41,61716,"색상:400 레드 마뜨 / 1개","조르지오 아르마니","45,000","1"
"614275",3821144,5693117,53,819685,"사이즈:상의_S 하의_M / 1개","세키나","45,000","1"
"614328",4014339,5431671,90,176982,"색상:(30)화이트|사이즈:66 / 1개","제이제이 지고트","45,000","1"
"614383",4003408,6214669,44,274174,"색상:네이비|사이즈:F / 1개","르샵","45,000","1"
"614659",4579902,10009752,25,443535,"사이즈:M / 1개","아디다스","47,400","1"
"614673",5428596,922076,145,50226,"색상:아이보리|사이즈:110(XXL) / 1개","내셔널지오그래픽(남성)","47,400","1"
"614829",1992691,9314237,153,536209,"색상:화이트|사이즈:S(6~12m) / 1개","해피프린스","4,800","1"
"615414",3772123,5948803,83,523398,"색상:BLK0_(BLK0)BLACK|사이즈:85 / 1개","데상트","45,000","1"
"615422",3785369,4274775,91,255711,"상품명:02_AC8583|사이즈:225 / 1개","아디다스(슈즈)","45,000","1"
"615428",3805115,2947438,21,71548,"색상:멜란지그레이|사이즈:L / 1개","지프","45,000","1"
"615930",1376890,2807554,67,640473,"1개","삼미","4,900","1"
"616436",5698388,261419,181,737743,"색상:20 / 1개","입생로랑","45,000","1"
"616451",5763822,10144334,141,489439,"색상:그레이|사이즈:85M / 1개","데상트 스포츠","45,000","1"
"616508",5921388,1189433,110,227789,"선택:중복합성 / 1개","비오템","45,000","1"
"616512",5931354,4592277,76,247366,"모델명_색상:선택11.PMEAD3099_BK|사이즈_사이즈:105 / 1개","지이크","45,000","1"
"616656",6396637,1339215,48,737743,"색상:20 / 1개","입생로랑","45,000","1"
"616874",5273404,2254566,83,735563,"제품명:치크 브러쉬 / 1개","알엠케이","47,000","1"
"617128",6422635,9816067,150,580845,"1개","오가닉맘","4,500","1"
"617374",928681,5213043,14,324420,"1개","서울약사신협","5,000","1"
"617432",1168090,10317658,84,647627,"색상:ABV5WD1101BK|사이즈:95 / 1개","지오지아","5,000","1"
"617513",2433827,670035,139,19558,"색상:11 앰비규어스 베이지 / 1개","입생로랑","45,000","1"
"617531",2530230,8373405,30,571198,"모델:엣지 102|사이즈:235 / 1개","프로스펙스","45,000","1"
"617759",1086807,6480495,25,408434,"색상:304 칠리 코랄 / 2개","조르지오 아르마니","45,000","2"
"617780",3362221,6720708,18,275012,"색상:블랙화이트|사이즈:270 / 1개","아디다스(슈즈)","46,800","1"
"617823",5817403,1495594,145,228555,"색상:블랙 / 1개","맥끌라니","46,800","1"
"617854",327310,8793497,19,721757,"1개","그린몬스터","46,900","1"
"617890",3086960,1817897,257,6491,"색상:엔틱 / 2개","홈앤하우스","46,900","2"
"618108",580196,3982538,319,392548,"상품명:샤크코지 베개커버(40x60)|색상:다크블루 / 1개","보몽드","4,900","1"
"618480",730188,2435893,67,752645,"색상사이즈:없음/12240920/ / 1개","궁중비책","5,000","1"
"618638",4561664,2039098,87,736994,"1개","베네피트","45,000","1"
"618654",4642924,8389407,47,371389,"상품선택:VJ074_BLK / 1개","베디베로","45,000","1"
"618684",4748473,2432085,35,736957,"색상:400 / 1개","조르지오 아르마니","45,000","1"
"618705",4824520,344041,78,19558,"색상:21 루쥬 파라독스 / 1개","입생로랑","45,000","1"
"618753",4090655,6506467,16,580701,"색상:BLK0_(BLK0)BLACK|사이즈:280 / 1개","데상트","45,000","1"
"619077",2530230,10417234,19,562033,"모델명:선택1)31985-01003|사이즈:7(22/23) / 1개","미니멜리사","47,500","1"
"619201",5907476,6037042,172,510430,"사이즈:XXX / 1개","라푸마","4,800","1"
"619219",6400602,6626398,2,286266,"색상:ORANGE|사이즈:80 / 1개","에뜨와","4,800","1"
"619472",180984,6578627,27,5046,"상품명:오렌지|사이즈:105 / 1개","뱅뱅","5,000","1"
"619525",378611,7676965,93,690155,"색상:140(베이지)|사이즈:S(003) / 1개","에이치커넥트","5,000","1"
"619557",6102657,5728736,52,628648,"제품 선택:제니튼_어린이용 치약 / 5개","제니튼","4,900","5"
"619985",759247,6763903,226,468222,"사이즈:095 / 1개","나이키","47,200","1"
"620074",1339167,4213643,95,184402,"사이즈:230 / 1개","나이키","47,200","1"
"620271",4973189,9838673,25,730603,"선택:계란틀원형_2구 / 1개","벅703","4,800","1"
"620432",2414357,7811339,70,411712,"1개","레고","4,900","1"
"620529",761578,2374913,128,132477,"상의색상:BK|상의사이즈:95 / 4개","탑텐","5,000","4"
"620657",115714,6203949,97,757501,"3개","러빈코티지","5,000","3"
"620675",180984,6578627,27,5046,"상품명:오렌지|사이즈:90 / 2개","뱅뱅","5,000","2"
"620849",5248463,7072539,28,737743,"색상:10 / 1개","입생로랑","45,000","1"
"620873",5331718,2486235,36,229588,"10개","오덴세","45,000","10"
"621054",5969062,70416,66,744293,"호수:01 / 1개","폴앤조(명품화장품)","45,000","1"
"621261",1637130,7494744,29,677783,"1개","헤지스ACC","47,600","1"
"621297",2833970,6385091,49,485252,"상의색상:선택1)100(화이트)|상의사이즈:L(105) / 1개","FRED PERRY","47,600","1"
"621536",3861966,8668981,67,825162,"1개","이니스프리","4,900","1"
"621585",4245686,8734870,22,689685,"선택:단일품목(3000001170) / 1개","에스엔피","4,900","1"
"621664",1705310,4531056,68,6182,"1개","마이비","5,000","1"
"621832",5067955,864860,27,54018,"색상:블랙|사이즈:110 / 2개","유라비","4,900","2"
"621976",1529657,4023664,35,737743,"색상:10 / 1개","입생로랑","45,000","1"
"622009",1599460,6383238,83,329230,"색상:(39)블랙|사이즈:66 / 1개","제이제이 지고트","45,000","1"
"622029",1688105,1854897,53,737743,"색상:20 / 1개","입생로랑","45,000","1"
"622312",5288199,9661371,285,360353,"컬러:블랙|사이즈:66 / 1개","플라스틱아일랜드","47,520","1"
"622332",834394,6601958,12,195737,"색상:선택2)102(블랙)|사이즈:XL(110) / 1개","프레드페리","47,600","1"
"622333",834394,6601958,12,195737,"색상:선택4)314(그레이)|사이즈:XL(110) / 1개","프레드페리","47,600","1"
"622575",3868951,7033617,45,8099,"타입:B타입|사이즈:95 / 1개","판도라 바이 비비안","4,900","1"
"622626",4245686,10920844,58,689685,"선택:단일품목(3000001170) / 1개","에스엔피","4,900","1"
"622698",4266641,1558929,12,5349,"2개","골든벨","4,990","2"
"622786",313213,3739239,96,773237,"1개","도기맨","5,000","1"
"623001",5541577,10442154,30,425715,"색상사이즈:아쿠아 핑크 XS / 1개","더나이스","45,900","1"
"623042",325133,3023760,53,467487,"1개","종근당 건강","46,000","1"
"623149",3552649,7958565,26,509245,"색상:아이보리|사이즈:235 / 1개","소보제화","45,000","1"
"623428",1390211,4960080,138,624493,"선택:섬유유연제_시그니처4개 / 1개","블랑원오원","47,800","1"
"623466",217708,4658125,21,782722,"사이즈:팬티형 L 3팩(132매) / 1개","메리즈","47,900","1"
"623691",1948982,8917258,276,680116,"색상:03.(SNBRL137)핑크|사이즈:75A / 1개","비너스 아르보","4,900","1"
"623692",1948982,8917258,276,680116,"색상:11.(SNBRS230)브라운|사이즈:75A / 1개","비너스 아르보","4,900","1"
"623850",554361,9239233,36,334812,"제품선택:선택22 터닝메카드 W 카울 / 1개","영실업","5,000","1"
"623878",637378,5707307,312,841191,"색상:노랑|사이즈:65호 / 2개","첨이첨이","5,000","2"
"624032",938460,2442693,39,585436,"사이즈:065 / 1개","나이키","45,000","1"
"624073",1090463,8938046,357,501162,"색상:베이지|사이즈:230 / 1개","소보제화","45,000","1"
"624269",1854256,6674295,51,603982,"선택:중복합성 / 1개","비오템","45,000","1"
"624287",2044226,7779535,28,310609,"사이즈:240 / 1개","리복","47,000","1"
"624380",3402116,6949712,89,218088,"타입:젤 / 1개","크리니크","47,000","1"
"624406",3891415,296513,63,70902,"색상:그레이(DL8634)|사이즈:120cm / 1개","아디다스키즈(아동)","47,000","1"
"624641",3861966,8653198,61,825162,"1개","이니스프리","4,900","1"
"624642",3861966,8660006,33,825162,"1개","이니스프리","4,900","1"
"624721",3750646,5216608,95,369449,"상품선택:40.일본 흡착 병따개 1P / 1개","홈스웰","4,700","1"
"625055",5975641,2866380,76,316485,"옵션:젓가락 블랙실버 / 2개","코즈니","4,900","2"
"625111",1702663,6680943,27,408434,"색상:304 칠리 코랄 / 1개","조르지오 아르마니","45,000","1"
"625183",1977676,1609715,26,736957,"색상:400 / 1개","조르지오 아르마니","45,000","1"
"625330",4137928,906550,56,107592,"색상:201 브릭 마뜨 / 1개","조르지오 아르마니","45,000","1"
"625401",4438755,10065828,21,768416,"색상:WHT0_WHT0-(WHITE)|사이즈:245 / 1개","데상트","47,600","1"
"625506",5875624,5562368,97,380960,"사이즈:090 / 1개","아디다스 오리지널","47,200","1"
"625509",5993681,800516,121,92673,"사이즈:155|직접입력1:검정(B1) / 1개","게스(키즈)","47,200","1"
"625553",872858,1070788,15,25217,"색상:멜란지그레이(MG)|사이즈:100 / 1개","디스커버리","47,400","1"
"625596",3347397,8255129,82,546604,"색상:멜란지그레이[MG]|사이즈:32 / 1개","디스커버리","47,400","1"
"625744",5159880,8393656,17,425367,"선택:네추럴그레이(NG)-95 / 1개","크리스크리스티","4,900","1"
"625786",1930788,836784,128,654875,"번호:강원 평창수 2.0L x 6병. / 1개","해태음료","4,780","1"
"625827",1078520,6415458,22,574932,"품목:04. VIVID Mix(1298145) / 1개","아트박스","4,800","1"
"625948",5638085,10917932,159,845635,"상품타입:장안사-H0106-아이보리-4 / 1개","오키즈","4,900","1"
"625996",6012440,10269115,49,556445,"프렌즈 논슬립 스텐 공기:프렌즈 논슬립 스텐 공기 핑크 / 1개","에디슨","4,900","1"
"626044",149040,6400077,64,704647,"색상:NA|사이즈:110[9991849-2] / 1개","컬리수","5,000","1"
"626191",4786619,9420062,362,558416,"모델명:03. 4월 (0990mpbrW) / 1개","메트로시티(주얼리)","45,000","1"
"626429",2068090,294334,70,28343,"사이즈:95M / 1개","나이키(의류)","45,000","1"
"626441",3821144,5693117,73,819685,"사이즈:상의_S 하의_M / 1개","세키나","45,000","1"
"626474",3940170,6953651,88,224722,"사이즈:XL / 1개","아디다스","47,400","1"
"626542",502974,10941704,31,545094,"품번:D69233|사이즈:225 / 1개","아디다스(슈즈)","47,000","1"
"626599",1536475,10577809,218,470383,"바지사이즈:94|칼라:네이비(NV)-86 / 1개","까르뜨블랑슈남성","47,000","1"
"626673",2800007,3974942,1,611888,"1개","해피콜","47,000","1"
"626728",4749346,3055049,26,588825,"종류선택:01. 부드러운모(4개입) / 1개","엘지생활건강","4,900","1"
"627084",63942,5812172,150,700026,"색상:핑크 / 1개","아레나(수영복)","5,000","1"
"627157",354566,3258102,57,154233,"색상:블랙(100)|사이즈:M(004) / 1개","에이치커넥트","5,000","1"
"627247",3821144,8820318,19,408434,"색상:304 칠리 코랄 / 1개","조르지오 아르마니","45,000","1"
"627305",4061697,10826147,22,787480,"색상:142 크레아띠프 / 1개","샤넬","45,000","1"
"627306",4063358,1131076,14,703211,"색상:아콘 / 1개","슈에무라","45,000","1"
"627427",4522777,9097907,67,739708,"색상:3개입(OB.VI.SP)|사이즈:FREE / 1개","마더피아","45,000","1"
"627531",1376890,2807554,67,781371,"1개","코렐코디네이츠","47,900","1"
"627758",5213576,6693339,26,7023,"1개","로얄캐닌","47,000","1"
"627815",2508670,5425138,14,628648,"제품 선택:제니튼_어린이용 치약 / 2개","제니튼","4,900","2"
"627845",2701392,7895042,182,458937,"색상/사이즈:라이트그레이/100 / 1개","치크","4,900","1"
"628235",208140,7460563,39,414430,"색상:네이비|사이즈:100 / 1개","유솔(아동)","5,000","1"
"628277",354549,6967139,334,215534,"색상:51|사이즈:M / 1개","지오다노","5,000","1"
"628342",3452270,5422331,53,164281,"색상:로지글로우 / 1개","헤라","45,000","1"
"628794",6204667,805586,37,76287,"색상:핑크(400)|사이즈:00M / 1개","네파","47,200","1"
"628921",1058337,9372013,6,464056,"색상/사이즈:블랙/110호 / 1개","빠뿌빠빠","4,900","1"
"628981",1527296,4118728,48,556576,"컬러:아이보리 / 1개","락앤락","4,900","1"
"629422",4296423,8373108,71,325061,"직접입력1:375 / 1개","슈에무라","45,000","1"
"629439",4351507,3356102,81,449943,"색상:멜란지블루(MBL)|사이즈:88(35) / 1개","올젠","45,000","1"
"629447",4375264,2140813,40,787480,"색상:NEW 186 에파뉘 / 1개","샤넬","45,000","1"
"629599",4930448,10864241,63,832354,"3개","롯데식품관","45,000","3"
"629666",4993268,7327362,21,843451,"1개","쌤소나이트","45,000","1"
"629785",103087,10401839,40,623019,"사이즈:100 / 1개","나이키","48,300","1"
"630141",1527296,4118728,48,556576,"컬러:다크블루 / 1개","락앤락","4,900","1"
"630427",761578,2374913,128,132477,"상의색상:WT|상의사이즈:100 / 2개","탑텐","5,000","2"
"630569",2272537,7656247,50,589264,"모델:M9166블랙|사이즈:250mm / 1개","컨버스","45,000","1"
"630734",4127535,2336211,47,736957,"색상:400 / 1개","조르지오 아르마니","45,000","1"
"630807",4206574,7152998,44,469293,"색상:네이비|사이즈:55 / 1개","에꼴","47,000","1"
"630924",5234871,10411389,82,595114,"사이즈:090 / 1개","나이키","47,200","1"
"631621",2562980,10236854,12,451159,"색상:SILVER|사이즈:180 / 1개","블루마운틴(스포츠)","45,000","1"
"631774",2562980,10219148,1,451159,"색상:SILVER|사이즈:180 / 1개","블루마운틴(스포츠)","45,000","1"
"631863",6019327,1353510,19,47873,"COLOR:베이지|SIZE:FREE / 1개","임블리(imvely)","47,000","1"
"631937",944655,3713693,374,184404,"사이즈:095 / 1개","나이키","47,200","1"
"632086",992291,8315166,43,374535,"상품명:CW2438(네이비)|사이즈:M / 1개","아디다스 오리지날","48,000","1"
"632337",4121838,8257420,40,736378,"색상/사이즈:네이비/M / 1개","후아유","4,900","1"
"632609",6009388,4403243,92,836653,"모델:NEW송풍구거치대(HTP1100)-블랙 / 1개","코비","4,940","1"
"632760",6095494,2841471,2,331710,"선택:테드(후드-화이트)50CM / 1개","텐바이텐","45,000","1"
"632871",6467469,8574333,102,373606,"색상:M/NAVY(곤색)|사이즈:105 / 1개","블랙야크","45,000","1"
"633063",2303521,6487197,91,494608,"1개","브리타","47,500","1"
"633286",580196,3982538,319,392548,"상품명:샤크코지 베개커버(40x60)|색상:실버블루 / 1개","보몽드","4,900","1"
"633779",5219587,8291602,35,446260,"사이즈:100호 / 1개","나이키(의류)","45,000","1"
"633839",5423147,6236302,60,189859,"색상 선택:20 / 1개","입생로랑","45,000","1"
"633899",5625341,4414928,19,742677,"색상:마호가니 / 1개","바비브라운","45,000","1"
"633959",5844107,7089054,41,737743,"색상:20 / 1개","입생로랑","45,000","1"
"634074",4923278,10071835,88,492405,"색상:네이비(N)|사이즈:145 / 1개","엠엘비키즈","48,300","1"
"634098",5305541,6876073,100,343508,"사이즈:095 / 1개","헤지스남성","48,300","1"
"634249",6289288,1132309,83,50226,"색상:아이보리|사이즈:110(XXL) / 1개","내셔널지오그래픽(남성)","47,400","1"
"634447",2391435,6949988,458,458462,"색상/사이즈:블루/90 / 1개","코코리따","4,900","1"
"634491",2701392,7895042,182,813002,"1개","아이정","4,900","1"
"634558",4260703,4635424,11,556576,"컬러:아이보리 / 2개","락앤락","4,900","2"
"634656",1369713,9369167,19,491811,"티셔츠사이즈:12M / 1개","드팜","5,000","1"
"634981",2960306,2060983,155,569914,"색상:BK|사이즈:140[10903959-1] / 1개","플레이키즈프로","45,000","1"
"635007",3055321,66820,234,165566,"품번:11991_066_블랙|사이즈:M8W10_265 / 1개","크록스","45,000","1"
"635118",3410786,9094758,41,737743,"색상:20 / 2개","입생로랑","45,000","2"
"635148",4129157,9421409,24,385569,"색상:화이트|사이즈:105 / 1개","커스텀멜로우","47,400","1"
"635167",5102193,10008286,65,568397,"색상:화이트|사이즈:100 / 1개","에피그램","47,400","1"
"635183",5790546,10063784,77,522472,"모델:CP8833|사이즈:230 / 1개","아디다스","47,400","1"
"635212",3476977,8130030,45,398415,"모델명:G704 / 1개","미니아트","47,900","1"
"635786",149040,6400077,64,740093,"색상:LG|사이즈:110[8426182-2] / 1개","컬리수","5,000","1"
"635844",348466,3527855,14,799866,"2개","바보사랑","5,000","2"
"636205",4750371,5018410,212,571348,"색상:889562-010 블랙|사이즈:65(S) / 1개","나이키(의류)","45,000","1"
"636383",3750646,1141319,222,693907,"모델명:01RNM_RN-WS17905_BK_|사이즈:90 / 1개","레노마수영복","47,000","1"
"636429",4360770,5238,279,13534,"색상:블루|사이즈:M / 1개","비엔엑스","47,000","1"
"636773",59693,4098034,52,248282,"하의색상:BKP|하의사이즈:86(34) / 1개","탑텐","5,000","1"
"636811",180984,6578627,27,5046,"상품명:오렌지|사이즈:100 / 1개","뱅뱅","5,000","1"
"636855",2085366,6626810,77,746512,"색상:핑크|사이즈:90 / 1개","에블린","5,000","1"
"637018",2658011,1938423,47,69566,"색상:BK(블랙)|사이즈:245 / 1개","탑텐","5,000","1"
"637164",4577675,859474,358,500193,"색상:블랙|사이즈:92 / 1개","노스페이스","45,000","1"
"637319",5769022,4992843,27,815319,"색상:RED(레드)|사이즈:240 / 1개","엘르 수영복","47,200","1"
"637387",3547324,5881623,48,482480,"사이즈:095 / 1개","나이키","47,200","1"
"637479",400700,6133726,76,819230,"1개","보닌 더스타일","48,000","1"
"637703",1783173,5689550,187,279129,"1개","할리스 커피","4,800","1"
"637794",5474702,3106944,64,153831,"색상:블랙 / 1개","케이투","4,800","1"
"637852",59693,256706,32,837147,"1개","창신리빙","4,900","1"
"637933",2253754,632491,83,222577,"색상:BK|사이즈:95 / 1개","탑텐","5,000","1"
"638265",5777615,1258222,326,151337,"색상:CQ2549 카키|사이즈:190 / 1개","아디다스(슈즈)","45,000","1"
"638270",5802805,4040800,72,101847,"색상:03.5016BKL0902BK|사이즈:95 / 1개","에어워크","45,000","1"
"638514",5321417,3657147,25,201766,"색상:23호 커버 / 1개","헤라","47,000","1"
"638642",500149,8958269,74,553519,"색상:TMMS1KOE02A0N00|사이즈:XXL / 1개","타미힐피거","47,600","1"
"638665",1484626,2326823,117,278856,"색상:블랙|사이즈:85(XS) / 1개","게스(진)","47,600","1"
"638787",5338099,5933651,35,781093,"1개","롭스","4,900","1"
"638859",5823031,1930887,86,148940,"모델명:선택01.BLU2PH1001PK|사이즈:78 / 1개","지오지아","4,900","1"
"639030",761578,2374913,128,132477,"상의색상:MGR|상의사이즈:100 / 3개","탑텐","5,000","3"
"640162",554361,9239233,36,334812,"제품선택:선택24 터닝메카드 W 피코 / 1개","영실업","5,000","1"
"640173",580196,2280808,443,66613,"색상:선택03_BE(베이지)|사이즈:76(30) / 1개","탑텐","5,000","1"
"640207",5370283,4495266,97,718840,"색상:004(화이트)|사이즈:XL(006) / 5개","에이치커넥트","5,000","5"
"640325",4946284,3487580,169,787480,"색상:NEW 190 땅드르 / 1개","샤넬","45,000","1"
"640596",5994490,7914911,16,716023,"품번/사이즈:BB1911_검회 / 235 / 1개","아디다스(슈즈)","47,000","1"
"640604",2800007,3988464,20,611888,"1개","해피콜","47,000","1"
"640606",2829183,9016928,17,9617,"1개","로얄캐닌","47,000","1"
"640685",4107437,5978494,13,248625,"상품명:CW2980(블랙)|사이즈:L / 1개","아디다스 오리지날","47,000","1"
"640712",4438755,8976949,11,484782,"색상:화이트(WH)|사이즈:082 / 1개","까르뜨블랑슈남성","47,000","1"
"640823",5954485,3613599,36,333346,"색상:네이비|사이즈:F / 1개","스테파넬","47,000","1"
"640826",5994490,7914911,16,716023,"품번/사이즈:BB1911_검회 / 275 / 1개","아디다스(슈즈)","47,000","1"
"640996",5042770,3118728,10,692099,"색상:민트 / 1개","오가닉맘","4,900","1"
"641089",1169054,310596,209,805675,"SIZE:17mm / 1개","폭스타일","5,000","1"
"641099",1210133,5197350,258,224504,"색상:네이비|사이즈:95(M) / 1개","게스(언더웨어)","5,000","1"
"641124",2762300,6990326,96,229929,"색상:(17A2_18S0176) 핑크|사이즈:100 / 1개","트윈키즈","5,000","1"
"641372",354566,3200192,235,95854,"컬러:베이지|사이즈:100 / 1개","엠할리데이","5,000","1"
"641454",1463004,1528510,19,92890,"색상:(42)블루|사이즈:FF / 1개","제이제이 지고트","45,000","1"
"641491",1599967,7706249,54,457001,"사이즈:FREE / 1개","나이키","45,000","1"
"641609",6554946,3565888,24,792982,"1개","메트로시티(주얼리)","45,000","1"
"641627",2867699,7866897,53,74663,"선택:홍심담은 자연석류 / 1개","굿베이스","45,050","1"
"641763",1511614,6321276,152,196442,"색상:B60(네이비)|사이즈:XS(90) / 1개","타미힐피거","47,600","1"
"641865",5216219,10238776,45,700956,"사이즈:S(95) / 1개","프레드페리","47,600","1"
"642112",2144655,9963951,18,458973,"색상/사이즈:블루/130 / 1개","헌트키즈","4,900","1"
"642283",1058337,6145982,136,280692,"색상/사이즈:화이트/110호 / 1개","빠뿌빠빠","4,960","1"
"642495",6154669,2164039,87,107592,"색상:201 브릭 마뜨 / 1개","조르지오 아르마니","45,000","1"
"642532",6227648,8342601,14,271377,"색상:블랙(BK)|사이즈:210 / 1개","뉴발란스","45,000","1"
"642538",6241630,1624360,21,107592,"색상:400 레드 마뜨 / 1개","조르지오 아르마니","45,000","1"
"642789",3462490,6926635,55,321431,"색상:N09(화이트)|사이즈:L(105) / 1개","타미힐피거","47,600","1"
"642841",5671277,9261573,15,325861,"색상:화이트|사이즈:2(66) / 1개","포스트 커밍스텝","47,600","1"
"642864",6541604,9436991,34,721400,"사이즈:004 / 1개","라코스테라이브","47,600","1"
"643083",2391435,9011158,202,458468,"색상/사이즈:네이비/90 / 1개","코코리따","4,900","1"
"643196",3207003,7234118,53,556576,"컬러:그레이 / 1개","락앤락","4,900","1"
"643314",1542709,7189633,164,585130,"색상선택:요넥스슈즈백/네이비 / 1개","요넥스","5,000","1"
"643595",1946762,3532633,224,268936,"색상/사이즈:one color/260_40_보통발볼_Regular / 1개","버켄스탁","45,290","1"
"643643",3310798,1846724,9,787480,"색상:144 비방 / 1개","샤넬","45,000","1"
"643832",5140945,397224,57,96625,"타입:SK2638 블랙|사이즈:77 / 1개","스커트홀릭","47,900","1"
"643849",6013805,3560667,46,117783,"색상:MC-103SW 핑크 / 1개","미니쿠치","47,900","1"
"644239",2366370,2712538,66,211930,"색상:05그레이 / 1개","송월타월","4,900","1"
"644251",2450611,2907079,98,370844,"색상:1+1 페브린 5핀 1.2m 실버 / 1개","시그마네트웍스","4,900","1"
"644384",5664415,3298525,75,132478,"상의색상:NV|상의사이즈:100 / 1개","탑텐","5,000","1"
"644427",5823031,1930887,86,439201,"색상:ABV1WD1104RD|사이즈:95 / 1개","지오지아","5,000","1"
"644453",5900793,2221777,42,50350,"색상:09|사이즈:L / 1개","지오다노","5,000","1"
"644504",3976008,6425283,171,690828,"색상:14|사이즈:L / 1개","지오다노","5,000","1"
"644695",4874106,3665605,78,101847,"색상:09.5002BKL0903BK|사이즈:110 / 1개","에어워크","45,000","1"
"644826",2015219,9060729,11,462910,"색상:OJ212(남.블루)|사이즈:L(100) / 1개","머렐(레저)","45,000","1"
"645028",2080550,234708,27,823314,"1개","순둥이","47,500","1"
"645136",2539001,9145608,167,325861,"색상:화이트|사이즈:1(55) / 1개","포스트 커밍스텝","47,600","1"
"645266",1570351,156991,22,230312,"색상:네이비|사이즈:90 / 2개","에블린","5,000","2"
"645697",3308917,9478027,10,334812,"제품선택:선택89 지오메카MINI-레오칸 / 1개","영실업","5,000","1"
"645869",2189766,1257499,10,843651,"1개","미스테리월","45,600","1"
"645980",6154669,2215575,135,107592,"색상:500 살몬 마뜨 / 1개","조르지오 아르마니","45,000","1"
"646007",4206574,10836367,21,695333,"색상:WHITE|사이즈:70(66) / 1개","톰보이","47,700","1"
"646015",5515562,4329002,42,558117,"색상:그레이|사이즈:FREE / 1개","오조크","47,700","1"
"646309",1734290,7585334,116,598093,"색상:라이트핑크(26)|사이즈:90(95) / 2개","에블린","5,000","2"
"646569",4171030,5684258,78,229923,"색상:(17A2_18S0154) 블랙|사이즈:120 / 1개","트윈키즈","5,000","1"
"646580",4196020,8655095,324,506748,"옵션:라임 / 1개","레드페이스","5,000","1"
"646609",4300083,4274472,147,172178,"상의색상:LGR|상의사이즈:90 / 1개","탑텐","5,000","1"
"646626",4344839,7938136,305,281069,"색상:딥네이비(275)|사이즈:M(004) / 1개","에이치커넥트","5,000","1"
"646711",3761051,9209611,96,637662,"사이즈:100 / 1개","보디가드","5,000","1"
"646935",5652486,8660971,109,397009,"색상:네이비(B60)|사이즈:M(8~9) / 1개","타미힐피거 칠드런","45,000","1"
"647059",4137944,6756635,124,465590,"색상:네이비|사이즈:105 / 1개","블랙야크","45,000","1"
"647277",4026217,5871737,388,321431,"색상:N09(화이트)|사이즈:M(100) / 1개","타미힐피거","47,600","1"
"647351",914269,1620675,481,157064,"사이즈:95 / 1개","키스해링","4,900","1"
"647459",1780409,4570422,68,833171,"선택:문자자석놀이(영대) / 1개","맘스보드","4,900","1"
"647552",2455104,2207783,108,383855,"선택:남_23호 / 2개","엑스넬스","4,900","2"
"647589",1058337,9372013,6,583534,"색상/사이즈:화이트/110호 / 1개","빠뿌빠빠","4,900","1"
"647643",5972210,8174427,229,816684,"1개","누비","5,000","1"
"647758",6352711,1252615,68,624631,"3개","VDL","5,000","3"
"647943",4227345,5042887,92,206666,"색상:TT580 투투고고 / 1개","베네피트","45,000","1"
"647967",1954418,1681510,20,61716,"색상:500 살몬 마뜨 / 1개","조르지오 아르마니","45,000","1"
"648305",5120501,10920953,46,469789,"사이즈:105 / 1개","나이키","47,200","1"
"648379",169207,10233236,32,811240,"1개","아페토펫","47,330","1"
"648381",59693,268525,243,25217,"색상:블랙(BK)|사이즈:90 / 1개","디스커버리","47,400","1"
"648404",1426372,10754489,32,512273,"색상:라이트핑크[LP]|사이즈:120 / 1개","디스커버리","47,400","1"
"648920",3861966,8668981,22,488124,"1개","이니스프리","5,000","1"
"648985",2405481,4514947,32,141911,"1개","끌레드뽀 보떼","45,000","1"
"649024",2550520,7654909,24,369561,"색상:화이트(WH)|사이즈:F / 1개","오조크","45,000","1"
"649055",2672834,9582768,73,372915,"색상:(43)블루|사이즈:FFF / 1개","숲","45,000","1"
"649109",4369997,9013820,32,408434,"색상:304 칠리 코랄 / 1개","조르지오 아르마니","45,000","1"
"649158",4523263,9393684,123,511601,"색상:414 텐더 로즈 / 1개","샤넬","45,000","1"
"649286",2437635,5602842,121,180806,"사이즈:080 / 1개","나이키","47,200","1"
"649356",6411550,5408348,61,398906,"색상:CCNV|사이즈:240 ◈70788725◈ / 1개","스케쳐스","47,000","1"
"649390",600930,6008020,59,207090,"사이즈:085 / 1개","나이키","47,200","1"
"649473",2677325,5721249,44,209328,"사이즈:W6.5_235 / 1개","탐스","47,200","1"
"649489",3068539,3249987,96,279080,"색상:화이트|사이즈:000(FREE) / 1개","앳코너","47,200","1"
"649490",3129430,4367443,92,184402,"사이즈:240 / 1개","나이키","47,200","1"
"649507",3644718,253161,171,492259,"사이즈:080 / 1개","나이키","47,200","1"
